replicate_id,treatment,bits,operation,time,iterations,compile_time_optimizations
10,bit_vector,16,L_SHIFT_0.5l,7.2749e+07,1000000,1
10,bit_vector,16,L_SHIFT_1l,7.2482e+07,1000000,1
11,bit_vector,16,CountOnes_Mixed,6.86e+06,1000000,1
11,bit_vector,16,NOT,7.3255e+07,1000000,1
11,bit_vector,16,AND,7.2555e+07,1000000,1
11,bit_vector,16,OR,7.2881e+07,1000000,1
11,bit_vector,16,NAND,7.424e+07,1000000,1
11,bit_vector,16,NOR,7.3767e+07,1000000,1
11,bit_vector,16,XOR,7.2309e+07,1000000,1
11,bit_vector,16,EQU,7.3497e+07,1000000,1
11,bit_vector,16,R_SHIFT_0.25l,7.1579e+07,1000000,1
11,bit_vector,16,R_SHIFT_0.5l,7.1864e+07,1000000,1
11,bit_vector,16,R_SHIFT_1l,7.2522e+07,1000000,1
11,bit_vector,16,L_SHIFT_0.25l,7.2729e+07,1000000,1
11,bit_vector,16,L_SHIFT_0.5l,7.3291e+07,1000000,1
11,bit_vector,16,L_SHIFT_1l,7.4727e+07,1000000,1
12,bit_vector,16,CountOnes_Mixed,7.94e+06,1000000,1
12,bit_vector,16,NOT,7.3716e+07,1000000,1
12,bit_vector,16,AND,7.407e+07,1000000,1
12,bit_vector,16,OR,7.1757e+07,1000000,1
12,bit_vector,16,NAND,7.3904e+07,1000000,1
12,bit_vector,16,NOR,7.301e+07,1000000,1
12,bit_vector,16,XOR,7.3427e+07,1000000,1
12,bit_vector,16,EQU,7.3745e+07,1000000,1
12,bit_vector,16,R_SHIFT_0.25l,7.3119e+07,1000000,1
12,bit_vector,16,R_SHIFT_0.5l,7.0786e+07,1000000,1
12,bit_vector,16,R_SHIFT_1l,7.223e+07,1000000,1
12,bit_vector,16,L_SHIFT_0.25l,7.4316e+07,1000000,1
12,bit_vector,16,L_SHIFT_0.5l,7.5665e+07,1000000,1
12,bit_vector,16,L_SHIFT_1l,7.658e+07,1000000,1
13,bit_vector,16,CountOnes_Mixed,7.996e+06,1000000,1
13,bit_vector,16,NOT,7.2721e+07,1000000,1
13,bit_vector,16,AND,7.3694e+07,1000000,1
13,bit_vector,16,OR,7.279e+07,1000000,1
13,bit_vector,16,NAND,7.2646e+07,1000000,1
13,bit_vector,16,NOR,7.3728e+07,1000000,1
13,bit_vector,16,XOR,7.2676e+07,1000000,1
13,bit_vector,16,EQU,7.4086e+07,1000000,1
13,bit_vector,16,R_SHIFT_0.25l,7.2157e+07,1000000,1
13,bit_vector,16,R_SHIFT_0.5l,7.141e+07,1000000,1
13,bit_vector,16,R_SHIFT_1l,7.2545e+07,1000000,1
13,bit_vector,16,L_SHIFT_0.25l,7.419e+07,1000000,1
13,bit_vector,16,L_SHIFT_0.5l,7.3529e+07,1000000,1
13,bit_vector,16,L_SHIFT_1l,7.8315e+07,1000000,1
14,bit_vector,16,CountOnes_Mixed,7.371e+06,1000000,1
14,bit_vector,16,NOT,7.612e+07,1000000,1
14,bit_vector,16,AND,7.7661e+07,1000000,1
14,bit_vector,16,OR,7.8177e+07,1000000,1
14,bit_vector,16,NAND,8.2492e+07,1000000,1
14,bit_vector,16,NOR,7.9435e+07,1000000,1
14,bit_vector,16,XOR,8.0378e+07,1000000,1
14,bit_vector,16,EQU,8.0383e+07,1000000,1
14,bit_vector,16,R_SHIFT_0.25l,8.2234e+07,1000000,1
14,bit_vector,16,R_SHIFT_0.5l,9.8502e+07,1000000,1
14,bit_vector,16,R_SHIFT_1l,1.00216e+08,1000000,1
14,bit_vector,16,L_SHIFT_0.25l,8.8973e+07,1000000,1
14,bit_vector,16,L_SHIFT_0.5l,7.7395e+07,1000000,1
14,bit_vector,16,L_SHIFT_1l,7.8186e+07,1000000,1
15,bit_vector,16,CountOnes_Mixed,5.176e+06,1000000,1
15,bit_vector,16,NOT,7.599e+07,1000000,1
15,bit_vector,16,AND,7.6532e+07,1000000,1
15,bit_vector,16,OR,7.3349e+07,1000000,1
15,bit_vector,16,NAND,7.6848e+07,1000000,1
15,bit_vector,16,NOR,8.3031e+07,1000000,1
15,bit_vector,16,XOR,8.2936e+07,1000000,1
15,bit_vector,16,EQU,8.1286e+07,1000000,1
15,bit_vector,16,R_SHIFT_0.25l,7.7701e+07,1000000,1
15,bit_vector,16,R_SHIFT_0.5l,8.096e+07,1000000,1
15,bit_vector,16,R_SHIFT_1l,8.1211e+07,1000000,1
15,bit_vector,16,L_SHIFT_0.25l,8.4205e+07,1000000,1
15,bit_vector,16,L_SHIFT_0.5l,8.6005e+07,1000000,1
15,bit_vector,16,L_SHIFT_1l,8.5361e+07,1000000,1
